,Unnamed: 0,player,player_url,rnd,pick,tm,pos,age,college,height_in,weight_lb,height_cm,weight_kg
0,0,Bryce Young,https://www.pro-football-reference.com/players/Y/YounBr01.htm,1,1,CAR,QB,22.0,Alabama,70.0,204.0,178.0,92.0
1,1,C.J. Stroud,https://www.pro-football-reference.com/players/S/StroCJ00.htm,1,2,HOU,QB,21.0,Ohio St.,75.0,218.0,190.0,98.0
2,2,Will Anderson,https://www.pro-football-reference.com/players/A/AndeWi01.htm,1,3,HOU,LB,22.0,Alabama,76.0,243.0,193.0,110.0
3,3,Anthony Richardson,https://www.pro-football-reference.com/players/R/RichAn03.htm,1,4,IND,QB,21.0,Florida,76.0,244.0,193.0,110.0
4,4,Devon Witherspoon,https://www.pro-football-reference.com/players/W/WithDe00.htm,1,5,SEA,DB,22.0,Illinois,72.0,185.0,183.0,83.0
5,5,Paris Johnson,https://www.pro-football-reference.com/players/J/JohnPa03.htm,1,6,ARI,OL,22.0,Ohio St.,78.0,313.0,198.0,141.0
6,6,Tyree Wilson,https://www.pro-football-reference.com/players/W/WilsTy01.htm,1,7,LVR,OLB,23.0,Texas Tech,78.0,275.0,198.0,124.0
7,7,Bijan Robinson,https://www.pro-football-reference.com/players/R/RobiBi01.htm,1,8,ATL,RB,21.0,Texas,71.0,215.0,180.0,97.0
8,8,Jalen Carter,https://www.pro-football-reference.com/players/C/CartJa05.htm,1,9,PHI,DL,22.0,Georgia,75.0,314.0,190.0,142.0
9,9,Darnell Wright,https://www.pro-football-reference.com/players/W/WrigDa00.htm,1,10,CHI,OL,22.0,Tennessee,78.0,335.0,198.0,151.0
10,10,Peter Skoronski,https://www.pro-football-reference.com/players/S/SkorPe00.htm,1,11,TEN,OL,22.0,Northwestern,76.0,313.0,193.0,141.0
11,11,Jahmyr Gibbs,https://www.pro-football-reference.com/players/G/GibbJa01.htm,1,12,DET,RB,21.0,Alabama,69.0,200.0,175.0,90.0
12,12,Lukas Van Ness,https://www.pro-football-reference.com/players/V/VanNLu00.htm,1,13,GNB,DL,22.0,Iowa,77.0,272.0,196.0,123.0
13,13,Broderick Jones,https://www.pro-football-reference.com/players/J/JoneBr09.htm,1,14,PIT,OL,22.0,Georgia,77.0,311.0,196.0,141.0
14,14,Will McDonald,https://www.pro-football-reference.com/players/M/McDoWi00.htm,1,15,NYJ,DE,24.0,Iowa St.,75.0,241.0,190.0,109.0
15,15,Emmanuel Forbes,https://www.pro-football-reference.com/players/F/ForbEm00.htm,1,16,WAS,CB,22.0,Mississippi St.,72.0,180.0,183.0,81.0
16,16,Christian Gonzalez,https://www.pro-football-reference.com/players/G/GonzCh00.htm,1,17,NWE,DB,21.0,Oregon,74.0,205.0,188.0,92.0
17,17,Jack Campbell,https://www.pro-football-reference.com/players/C/CampJa04.htm,1,18,DET,LB,23.0,Iowa,77.0,243.0,196.0,110.0
18,18,Calijah Kancey,https://www.pro-football-reference.com/players/K/KancCa00.htm,1,19,TAM,DL,22.0,Pittsburgh,73.0,281.0,185.0,127.0
19,19,Jaxon Smith-Njigba,https://www.pro-football-reference.com/players/S/SmitJa06.htm,1,20,SEA,WR,21.0,Ohio St.,72.0,197.0,183.0,89.0
20,20,Quentin Johnston,https://www.pro-football-reference.com/players/J/JohnQu02.htm,1,21,LAC,WR,22.0,TCU,76.0,215.0,193.0,97.0
21,21,Zay Flowers,https://www.pro-football-reference.com/players/F/FlowZa00.htm,1,22,BAL,WR,22.0,Boston Col.,69.0,182.0,175.0,82.0
22,22,Jordan Addison,https://www.pro-football-reference.com/players/A/AddiJo00.htm,1,23,MIN,WR,21.0,USC,71.0,175.0,180.0,79.0
23,23,Deonte Banks,https://www.pro-football-reference.com/players/B/BankDe00.htm,1,24,NYG,DB,22.0,Maryland,74.0,200.0,188.0,90.0
24,24,Dalton Kincaid,https://www.pro-football-reference.com/players/K/KincDa00.htm,1,25,BUF,TE,23.0,Utah,76.0,240.0,193.0,108.0
25,25,Mazi Smith,https://www.pro-football-reference.com/players/S/SmitMa06.htm,1,26,DAL,DL,22.0,Michigan,75.0,337.0,190.0,152.0
26,26,Anton Harrison,https://www.pro-football-reference.com/players/H/HarrAn00.htm,1,27,JAX,OL,21.0,Oklahoma,77.0,315.0,196.0,142.0
27,27,Myles Murphy,https://www.pro-football-reference.com/players/M/MurpMy00.htm,1,28,CIN,DE,21.0,Clemson,77.0,275.0,196.0,124.0
28,28,Bryan Bresee,https://www.pro-football-reference.com/players/B/BresBr00.htm,1,29,NOR,DT,21.0,Clemson,77.0,305.0,196.0,138.0
29,29,Nolan Smith,https://www.pro-football-reference.com/players/S/SmitNo02.htm,1,30,PHI,OLB,22.0,Georgia,74.0,238.0,188.0,107.0
30,30,Felix Anudike-Uzomah,https://www.pro-football-reference.com/players/A/AnudFe00.htm,1,31,KAN,DE,21.0,Kansas St.,76.0,255.0,193.0,115.0
31,31,Joey Porter Jr.,https://www.pro-football-reference.com/players/P/PortJo02.htm,2,32,PIT,CB,23.0,Penn St.,74.0,194.0,188.0,87.0
32,32,Will Levis,https://www.pro-football-reference.com/players/L/LeviWi00.htm,2,33,TEN,QB,24.0,Kentucky,76.0,229.0,193.0,103.0
33,33,Sam LaPorta,https://www.pro-football-reference.com/players/L/LaPoSa01.htm,2,34,DET,TE,22.0,Iowa,75.0,245.0,190.0,111.0
34,34,Michael Mayer,https://www.pro-football-reference.com/players/M/MayeMi00.htm,2,35,LVR,TE,22.0,Notre Dame,76.0,265.0,193.0,120.0
35,35,Steve Avila,https://www.pro-football-reference.com/players/A/AvilSt00.htm,2,36,LAR,C,23.0,TCU,75.0,332.0,190.0,150.0
36,36,Derick Hall,https://www.pro-football-reference.com/players/H/HallDe04.htm,2,37,SEA,DE,22.0,Auburn,75.0,252.0,190.0,114.0
37,37,Matthew Bergeron,https://www.pro-football-reference.com/players/B/BergMa00.htm,2,38,ATL,OL,23.0,Syracuse,77.0,323.0,196.0,146.0
38,38,Jonathan Mingo,https://www.pro-football-reference.com/players/M/MingJo00.htm,2,39,CAR,WR,22.0,Mississippi,74.0,220.0,188.0,99.0
39,39,Isaiah Foskey,https://www.pro-football-reference.com/players/F/FoskIs00.htm,2,40,NOR,DL,22.0,Notre Dame,77.0,265.0,196.0,120.0
40,40,BJ Ojulari,https://www.pro-football-reference.com/players/O/OjulBJ00.htm,2,41,ARI,DE,21.0,LSU,74.0,248.0,188.0,112.0
41,41,Luke Musgrave,https://www.pro-football-reference.com/players/M/MusgLu00.htm,2,42,GNB,TE,23.0,Oregon St.,78.0,253.0,198.0,114.0
42,42,Joe Tippmann,https://www.pro-football-reference.com/players/T/TippJo00.htm,2,43,NYJ,OL,22.0,Wisconsin,78.0,317.0,198.0,143.0
43,43,Julius Brents,https://www.pro-football-reference.com/players/B/BrenJu00.htm,2,44,IND,DB,23.0,Kansas St.,75.0,198.0,190.0,89.0
44,44,Brian Branch,https://www.pro-football-reference.com/players/B/BranBr00.htm,2,45,DET,DB,21.0,Alabama,72.0,203.0,183.0,92.0
45,45,Keion White,https://www.pro-football-reference.com/players/W/WhitKe03.htm,2,46,NWE,DL,24.0,Georgia Tech,77.0,290.0,196.0,131.0
46,46,Quan Martin,https://www.pro-football-reference.com/players/M/MartJa04.htm,2,47,WAS,DB,23.0,Illinois,72.0,195.0,183.0,88.0
47,47,Cody Mauch,https://www.pro-football-reference.com/players/M/MaucCo00.htm,2,48,TAM,T,24.0,North Dakota St.,77.0,302.0,196.0,136.0
48,48,Keeanu Benton,https://www.pro-football-reference.com/players/B/BentKe00.htm,2,49,PIT,NT,22.0,Wisconsin,76.0,309.0,193.0,140.0
49,49,Jayden Reed,https://www.pro-football-reference.com/players/R/ReedJa03.htm,2,50,GNB,WR,23.0,Michigan St.,71.0,187.0,180.0,84.0
50,50,Cam Smith,https://www.pro-football-reference.com/players/S/SmitCa02.htm,2,51,MIA,DB,22.0,South Carolina,73.0,180.0,185.0,81.0
51,51,Zach Charbonnet,https://www.pro-football-reference.com/players/C/CharZa00.htm,2,52,SEA,RB,22.0,UCLA,73.0,214.0,185.0,97.0
52,52,Gervon Dexter,https://www.pro-football-reference.com/players/D/DextGe00.htm,2,53,CHI,DL,21.0,Florida,78.0,312.0,198.0,141.0
53,53,Tuli Tuipulotu,https://www.pro-football-reference.com/players/T/TuipTu00.htm,2,54,LAC,DL,21.0,USC,75.0,266.0,190.0,120.0
54,54,Rashee Rice,https://www.pro-football-reference.com/players/R/RiceRa01.htm,2,55,KAN,WR,23.0,SMU,74.0,203.0,188.0,92.0
55,55,Tyrique Stevenson,https://www.pro-football-reference.com/players/S/StevTy01.htm,2,56,CHI,CB,23.0,Miami (FL),72.0,204.0,183.0,92.0
56,56,John Michael Schmitz,https://www.pro-football-reference.com/players/M/MichJo00.htm,2,57,NYG,OL,24.0,Minnesota,76.0,320.0,193.0,145.0
57,57,Luke Schoonmaker,https://www.pro-football-reference.com/players/S/SchoLu00.htm,2,58,DAL,TE,24.0,Michigan,77.0,250.0,196.0,113.0
58,58,O'Cyrus Torrence,https://www.pro-football-reference.com/players/T/TorrOC00.htm,2,59,BUF,OL,23.0,Florida,77.0,347.0,196.0,157.0
59,59,DJ Turner,https://www.pro-football-reference.com/players/T/TurnDJ01.htm,2,60,CIN,DB,22.0,Michigan,72.0,180.0,183.0,81.0
60,60,Brenton Strange,https://www.pro-football-reference.com/players/S/StraBr00.htm,2,61,JAX,TE,22.0,Penn St.,75.0,247.0,190.0,112.0
61,61,Juice Scruggs,https://www.pro-football-reference.com/players/S/ScruJu00.htm,2,62,HOU,OL,23.0,Penn St.,75.0,308.0,190.0,139.0
62,62,Marvin Mims,https://www.pro-football-reference.com/players/M/MimsMa00.htm,2,63,DEN,WR,21.0,Oklahoma,71.0,182.0,180.0,82.0
63,63,Zacch Pickens,https://www.pro-football-reference.com/players/P/PickZa00.htm,3,64,CHI,DL,23.0,South Carolina,76.0,300.0,193.0,136.0
